job_id,job_type,invoice_amount,material_costs,request_date,start_date,completion_date,customer_id,customer_type,customer_postal_code,customer_satisfaction
j_185274,basic_lawncare,240.0,76,2022-03-01,2022-04-01,2022-04-02,c_3ac965,residential,A1H,2
j_8bd7f7,basic_lawncare,276.0,68,2022-03-01,2022-04-26,2022-04-26,c_3ac965,residential,A1H,7
j_422932,basic_lawncare,276.0,72,2022-03-01,2022-04-26,2022-04-26,c_3ac965,residential,A1H,8
j_894d5,basic_lawncare,276.0,73,2022-03-01,2022-05-17,2022-05-17,c_3ac965,residential,A1H,2
j_5521d6,basic_lawncare,276.0,71,2022-03-01,2022-05-17,2022-05-17,c_3ac965,residential,A1H,9
j_8b62c0,basic_lawncare,287.5,76,2022-03-01,2022-05-17,2022-05-17,c_3ac965,residential,A1H,5
j_794774,basic_lawncare,276.0,71,2022-03-01,2022-05-17,2022-05-17,c_3ac965,residential,A1H,9
j_317f0d,basic_lawncare,287.5,73,2022-03-01,2022-06-08,2022-06-09,c_3ac965,residential,A1H,10
j_5b0435,basic_lawncare,276.0,75,2022-03-01,2022-06-30,2022-06-30,c_3ac965,residential,A1H,10
j_8c37f0,basic_lawncare,287.5,79,2022-03-01,2022-06-30,2022-06-30,c_3ac965,residential,A1H,8
j_47b015,basic_lawncare,287.5,77,2022-03-01,2022-06-30,2022-06-30,c_3ac965,residential,A1H,5
j_112386,garden_landscaping,1020.0,408,2022-08-13,2022-09-15,2022-09-17,c_3ac965,residential,A1H,8
j_61f551,lawn_treatment,410.0,180,2022-10-02,2022-10-15,2022-10-16,c_3ac965,residential,A1H,4
j_602beb,spring_cleanup,500.0,127,2022-03-01,2022-04-01,2022-04-02,c_5fd6f5,commercial,A1E,8
j_969212,basic_lawncare,380.0,93,2022-03-07,2022-04-01,2022-04-03,c_5fd6f5,commercial,A1E,7
j_882ae3,retaining_wall,2290.0,1281,2022-04-02,2022-04-14,2022-04-15,c_5fd6f5,commercial,A1E,3
j_90036e,basic_lawncare,437.0,95,2022-03-07,2022-04-25,2022-04-25,c_5fd6f5,commercial,A1E,10
j_97ef36,water_feature,4270.0,2007,2022-04-27,2022-05-04,2022-05-07,c_5fd6f5,commercial,A1E,3
j_60b1ce,basic_lawncare,437.0,93,2022-03-07,2022-05-16,2022-05-16,c_5fd6f5,commercial,A1E,7
j_5b073b,basic_lawncare,437.0,102,2022-03-07,2022-05-16,2022-05-17,c_5fd6f5,commercial,A1E,9
j_37d3be,basic_lawncare,425.5,95,2022-03-07,2022-05-16,2022-05-17,c_5fd6f5,commercial,A1E,8
j_6497ed,garden_landscaping,1600.0,509,2022-05-16,2022-05-25,2022-05-27,c_5fd6f5,commercial,A1E,7
j_2cec46,basic_lawncare,425.5,94,2022-03-07,2022-06-07,2022-06-07,c_5fd6f5,commercial,A1E,7
j_4269b5,basic_lawncare,425.5,96,2022-03-07,2022-06-07,2022-06-08,c_5fd6f5,commercial,A1E,5
j_aa26f,basic_lawncare,425.5,94,2022-03-07,2022-06-29,2022-06-29,c_5fd6f5,commercial,A1E,8
j_6543ca,complete_lawncare,730.0,247,2022-05-28,2022-06-29,2022-06-29,c_5fd6f5,commercial,A1E,8
j_757df8,basic_lawncare,437.0,97,2022-03-07,2022-06-29,2022-06-29,c_5fd6f5,commercial,A1E,10
j_2aaee9,basic_lawncare,448.5,101,2022-03-07,2022-06-29,2022-06-29,c_5fd6f5,commercial,A1E,6
j_279501,garden_beds,660.0,226,2022-06-17,2022-07-07,2022-07-08,c_5fd6f5,commercial,A1E,1
j_6bcd3a,basic_lawncare,437.0,93,2022-03-07,2022-07-21,2022-07-21,c_5fd6f5,commercial,A1E,7
j_941691,install_new_lawn,1810.0,1039,2022-08-02,2022-09-05,2022-09-05,c_5fd6f5,commercial,A1E,10
j_953c13,tree_pruning,370.0,88,2022-09-05,2022-10-04,2022-10-04,c_5fd6f5,commercial,A1E,10
j_356ebe,fall_planting,710.0,249,2022-10-24,2022-10-24,2022-10-25,c_5fd6f5,commercial,A1E,10
j_74e2cb,install_new_lawn,1110.0,845,2022-03-01,2022-04-01,2022-04-02,c_148061,residential,A1N,7
j_96a505,basic_lawncare,250.0,75,2022-04-13,2022-04-20,2022-04-20,c_148061,residential,A1N,6
j_6b9a4a,tree_pruning,250.0,71,2022-06-06,2022-06-17,2022-06-19,c_148061,residential,A1N,3
j_5bfb5,garden_beds,420.0,171,2022-08-31,2022-10-02,2022-10-03,c_148061,residential,A1N,7
j_a1965,complete_lawncare,470.0,174,2022-10-24,2022-10-24,2022-10-25,c_148061,residential,A1N,8
j_7cf1f8,spring_cleanup,560.0,137,2022-03-02,2022-04-01,2022-04-02,c_5f12fd,residential,A1L,9
j_2676cb,complete_lawncare,790.0,264,2022-05-16,2022-05-24,2022-05-25,c_5f12fd,residential,A1L,7
j_6f71ce,garden_beds,730.0,245,2022-05-29,2022-06-06,2022-06-07,c_5f12fd,residential,A1L,10
j_96a6dd,basic_lawncare,410.0,110,2022-06-07,2022-06-19,2022-06-19,c_5f12fd,residential,A1L,5
j_8a5169,basic_lawncare,410.0,115,2022-07-27,2022-08-30,2022-08-30,c_5f12fd,residential,A1L,10
j_3a1a17,garden_landscaping,1860.0,657,2022-08-23,2022-09-26,2022-09-28,c_5f12fd,residential,A1L,10
j_7233a7,basic_lawncare,410.0,112,2022-09-08,2022-10-05,2022-10-06,c_5f12fd,residential,A1L,10
j_6e0045,complete_lawncare,780.0,267,2022-09-12,2022-10-27,2022-10-28,c_5f12fd,residential,A1L,10
j_8eb03c,basic_lawncare,410.0,107,2022-09-13,2022-10-27,2022-10-28,c_5f12fd,residential,A1L,10
j_89654b,complete_lawncare,760.0,261,2022-03-02,2022-04-01,2022-04-02,c_42fe8d,residential,A1K,7
j_17ef00,basic_lawncare,390.0,107,2022-03-22,2022-04-25,2022-04-25,c_42fe8d,residential,A1K,10
j_5ccaa9,complete_lawncare,862.4999999999999,262,2022-03-02,2022-04-25,2022-04-25,c_42fe8d,residential,A1K,10
j_1c0afd,basic_lawncare,448.5,104,2022-03-22,2022-04-25,2022-04-25,c_42fe8d,residential,A1K,10
j_308587,tree_pruning,390.0,101,2022-04-25,2022-05-02,2022-05-02,c_42fe8d,residential,A1K,7
j_1c5e89,basic_lawncare,437.0,106,2022-03-22,2022-05-16,2022-05-16,c_42fe8d,residential,A1K,8
j_958c30,complete_lawncare,827.9999999999999,239,2022-03-02,2022-05-16,2022-05-16,c_42fe8d,residential,A1K,8
j_727274,complete_lawncare,862.4999999999999,266,2022-03-02,2022-05-16,2022-05-16,c_42fe8d,residential,A1K,10
j_5fce38,basic_lawncare,448.5,105,2022-03-22,2022-05-16,2022-05-17,c_42fe8d,residential,A1K,4
j_19b59,garden_landscaping,1680.0,588,2022-05-13,2022-05-23,2022-05-25,c_42fe8d,residential,A1K,10
j_76e173,complete_lawncare,862.4999999999999,263,2022-03-02,2022-06-07,2022-06-07,c_42fe8d,residential,A1K,8
j_630a91,basic_lawncare,471.5,112,2022-03-22,2022-06-07,2022-06-07,c_42fe8d,residential,A1K,10
j_400b8d,install_new_lawn,1920.0,1158,2022-06-02,2022-06-13,2022-06-13,c_42fe8d,residential,A1K,6
j_4fe0bc,garden_beds,650.0,223,2022-06-09,2022-06-21,2022-06-22,c_42fe8d,residential,A1K,5
j_79ad11,basic_lawncare,460.0,110,2022-03-22,2022-06-28,2022-06-28,c_42fe8d,residential,A1K,6
j_52663c,complete_lawncare,850.9999999999999,258,2022-03-02,2022-06-28,2022-06-28,c_42fe8d,residential,A1K,7
j_89df62,complete_lawncare,885.4999999999999,269,2022-03-02,2022-06-28,2022-06-28,c_42fe8d,residential,A1K,8
